総使用回数順（リプレイごとに累計）（レベル別１から４）
1.紫	897（683-16-82-116）
2.妖夢	781（585-114-63-19）
3.早苗	734（591-69-65-9）
4.輝夜	709（246-118-290-55）
5.神奈子	669（529-38-81-21）
6.フラン	515（145-108-95-167）
7.レミリア	497（187-88-190-32）
8.永琳	483（186-53-216-28）
9.魔理沙	461（73-182-73-133）
10.諏訪子	445（224-54-159-8）
11.咲夜	428（255-52-93-28）
12.萃香	415（113-107-177-18）
13.霊夢	405（215-86-98-6）
14.文	395（182-13-197-3）
15.小町	375（111-29-231-4）
16.幽々子	370（83-130-66-91）
17.パチュリー	365（207-76-78-4）
18.鈴仙	349（102-90-153-4）
19.橙	253（176-12-49-16）
20.美鈴	244（84-24-120-16）
21.慧音	241（75-37-103-26）
22.アリス	222（72-59-63-28）
23.プリズムリ	205（153-20-23-9）
24.藍	196（127-30-33-6）
25.にとり	189（12-24-30-123）
26.妹紅	171（73-23-50-25）
27.空	166（91-25-42-8）
28.燐	104（13-45-46-0）
29.衣玖	83（37-10-36-0）
30.天子	56（34-5-17-0）
31.???	16（0-0-0-16）
32.鈴仙人	1（1-0-0-0）

総使用回数順（デッキタイプごとに累計）（レベル別１から４）
1.妖夢	74（54-14-5-1）
2.咲夜	71（42-14-14-1）
3.フラン	71（30-30-10-1）
4.紫	68（51-6-10-1）
5.早苗	68（55-9-3-1）
6.神奈子	65（46-9-9-1）
7.レミリア	58（33-12-12-1）
8.諏訪子	58（41-7-9-1）
9.魔理沙	53（22-21-9-1）
10.霊夢	46（23-15-7-1）
11.萃香	45（24-16-4-1）
12.文	44（27-8-8-1）
13.パチュリー	44（28-10-5-1）
14.永琳	42（21-11-9-1）
15.輝夜	39（16-12-10-1）
16.幽々子	38（17-15-5-1）
17.アリス	34（17-8-8-1）
18.橙	34（26-3-4-1）
19.慧音	33（14-7-11-1）
20.鈴仙	33（13-12-7-1）
21.プリズムリ	28（20-2-3-3）
22.小町	27（18-6-2-1）
23.空	26（11-7-7-1）
24.美鈴	24（9-6-8-1）
25.妹紅	23（13-5-4-1）
26.藍	23（14-5-3-1）
27.にとり	23（6-9-7-1）
28.衣玖	20（7-6-7-0）
29.燐	18（6-8-4-0）
30.天子	13（7-4-2-0）
31.鈴仙人	1（1-0-0-0）
32.???	1（0-0-0-1）

総レベル順（リプレイごとに累計）
1.輝夜	1572
2.紫	1425
3.フラン	1314
4.魔理沙	1188
5.妖夢	1078
6.レミリア	1061
7.永琳	1052
8.早苗	960
9.神奈子	932
10.萃香	930
11.幽々子	905
12.小町	878
13.諏訪子	841
14.文	811
15.鈴仙	757
16.咲夜	750
17.霊夢	705
18.にとり	642
19.パチュリー	609
20.慧音	562
21.美鈴	556
22.アリス	491
23.橙	411
24.妹紅	369
25.藍	310
26.空	299
27.プリズムリ	298
28.燐	241
29.衣玖	165
30.天子	95
31.???	64
32.鈴仙人	1

総レベル順（デッキタイプごとに累計）
1.フラン	124
2.咲夜	116
3.妖夢	101
4.紫	97
5.レミリア	97
6.魔理沙	95
7.神奈子	95
8.早苗	86
9.諏訪子	86
10.霊夢	78
11.輝夜	74
12.永琳	74
13.萃香	72
14.文	71
15.パチュリー	67
16.幽々子	66
17.慧音	65
18.鈴仙	62
19.アリス	61
20.空	50
21.にとり	49
22.美鈴	49
23.橙	48
24.プリズムリ	45
25.衣玖	40
26.小町	40
27.妹紅	39
28.藍	37
29.燐	34
30.天子	21
31.???	4
32.鈴仙人	1

勝率順（レベル補正あり）
1.鈴仙人	100.00%
2.にとり	59.52%
3.輝夜	56.91%
4.小町	56.64%
5.萃香	52.55%
6.紫	52.08%
7.フラン	52.01%
8.妖夢	51.64%
9.レミリア	50.95%
10.魔理沙	50.78%
11.霊夢	50.70%
12.諏訪子	50.06%
13.早苗	49.80%
14.美鈴	49.73%
15.神奈子	49.63%
16.藍	49.07%
17.永琳	49.07%
18.天子	48.51%
19.幽々子	47.54%
20.鈴仙	47.00%
21.妹紅	46.93%
22.空	46.30%
23.文	45.78%
24.慧音	45.65%
25.衣玖	45.45%
26.咲夜	45.15%
27.パチュリー	44.84%
28.アリス	44.59%
29.燐	43.92%
30.プリズムリ	43.07%
31.橙	42.34%
32.???	31.58%

勝率順（レベル補正なし）
1.鈴仙人	100.00%
2.にとり	58.62%
3.輝夜	55.46%
4.小町	54.01%
5.紫	52.91%
6.妖夢	52.33%
7.諏訪子	51.24%
8.神奈子	50.53%
9.萃香	50.13%
10.魔理沙	50.10%
11.フラン	50.10%
12.霊夢	49.88%
13.レミリア	49.79%
14.早苗	49.60%
15.藍	48.73%
16.永琳	48.64%
17.美鈴	48.44%
18.妹紅	48.15%
19.咲夜	47.31%
20.慧音	46.75%
21.文	46.73%
22.鈴仙	46.52%
23.衣玖	46.51%
24.空	46.47%
25.幽々子	46.36%
26.パチュリー	45.73%
27.プリズムリ	45.09%
28.橙	44.58%
29.燐	44.44%
30.アリス	44.13%
31.天子	44.07%
32.???	31.58%

